,route_id,direction_id,trip_headsign,shape_id,route_short_name,avgDepartureTimeDay,avgSpeedDay,avgDepartureTimeAM,avgSpeedAM,avgDepartureTimePM,avgSpeedPM
63,52,0,SAN BERNARDO,5211,52,14.541666666666666,13.472468298890025,13.333333333333334,10.22539020631358,13.5,10.9922944717871
64,52,1,BARRIADA PALMETE,5212,52,14.314285714285717,13.453093515282871,11.428571428571429,15.342305708981042,13.5,11.024087479340633
65,60,0,PLAZA NUEVA,6011,T1,9.267857142857142,11.180611025824884,8.1,10.752417412069889,8.0,10.752417412069889
66,60,1,SAN BERNARDO,6012,T1,9.436363636363636,10.302842492685029,8.88888888888889,9.747788252832148,8.0,9.747788252832148
67,71,0,EXPRES PRADO,7111,LE,13.045454545454543,15.879252942821868,11.142857142857142,15.724845582428808,11.571428571428571,15.724845582428808
68,71,1,EXPRES SEV. ESTE,7112,LE,12.971014492753625,14.927658730082095,11.142857142857142,14.95456034344257,11.571428571428571,13.8863774617681
69,72,0,PRADO           ,7211,LN,10.5,12.298736863757322,8.666666666666666,11.495127916862623,9.11111111111111,12.069884312705756
70,72,1,PINO MONTANO,7212,LN,10.411764705882351,11.848460249451128,8.7,12.510916304176208,9.11111111111111,10.749797772159765
71,81,0,CARTUJA         ,8111,C1,7.0,14.506634410225876,5.928571428571429,14.209083723317807,5.733333333333333,13.778505428671815
72,81,1,PRADO           ,8112,C1,6.814569536423841,10.689125649553972,5.933333333333334,10.230921977893152,5.7142857142857135,9.748072367473076
73,82,0,CARTUJA         ,8211,C2,7.006622516556291,9.558943071891925,4.941176470588236,8.75372607266008,5.666666666666667,8.766449511719177
74,82,1,PRADO           ,8212,C2,7.040816326530613,13.68977514396036,4.8235294117647065,12.021197354957808,5.666666666666667,13.514215074376162
75,83,0,BARQUETA       ,8311,C3,8.190476190476192,8.098553810241274,5.625,8.168447358602375,7.545454545454546,7.854276306348438
76,83,1,PRADO           ,8312,C3,7.894736842105263,16.445286062309286,5.6,15.167172471926945,7.545454545454546,15.965444707291518
77,84,0,PLAZA DE ARMAS,8411,C4,8.75,6.404260044458556,8.2,6.170144895302653,8.2,6.170144895302653
78,84,1,PRADO           ,8412,C4,8.680672268907562,20.54654538955729,8.2,20.376739229313017,8.2,20.376739229313017
79,87,0,NERVION            ,8711,B3,35.03448275862069,12.630116038854664,24.5,10.77065930029034,26.33333333333333,10.87038762714488
80,87,1,SANTA CLARA,8712,B3,36.28571428571429,13.640863654258688,24.33333333333333,14.42590428186347,26.666666666666668,12.381189153216734
81,100,0,PLAZA DE ARMAS,10011,EA,17.565789473684212,21.300856590448344,17.0,21.2506778941222,12.5,21.2506778941222
82,100,1,AEROPUERTO       ,10012,EA,18.513513513513512,16.0654428422703,18.75,15.62719784179392,12.5,15.66931966886075
83,108,0,EL GORDILLO       ,10811,C6A,79.58333333333333,31.247613754216108,,31.24761375421611,,31.24761375421611
84,108,1,SAN JERONIMO,10812,C6A,79.61538461538461,10.702314571548614,,10.535090906368165,,10.535090906368165
85,109,0,VALDEZORRAS GORDILLO,10911,C6B,75.0,11.279559021288035,,11.279559021288035,,11.279559021288035
86,109,1,SAN JERONIMO,10912,C6B,75.0,35.88558313249768,,35.88558313249767,,35.88558313249767
87,119,0,SAN BERNARDO.,11911,B4,19.7,17.162476259643274,19.0,16.3470878099421,19.25,16.670456432193415
88,119,1,TORREBLANCA       ,11912,B4,19.274509803921568,11.949994925888785,19.0,11.712382322492996,19.25,11.423138177618643
89,125,0,PRADO           ,12511,38A,68.13333333333334,13.106662439768412,,13.106662439768412,,13.106662439768412
90,125,1,PITAMO P.OLAVIDE,12512,38A,68.28571428571428,17.84333918293935,70.0,16.689497388199623,70.0,16.689497388199623
91,127,0,SANTA JUSTA,12711,LS,14.01639344262295,13.997263217482123,12.833333333333334,13.335730293326106,13.0,13.660992007797471
92,127,1,BELLAVISTA,12712,LS,14.0,17.508456648630805,12.833333333333334,17.707455893074805,13.0,16.750296115070764
